[meta] uuid,White (Caucasian),North African / Middle Eastern,Asian (includes Indian),Hispanic or Latino,Black,Other
cb744e00-9f88-0134-79f4-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ed0686b0-9d61-0134-e095-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9c890360-9d5a-0134-85a7-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7bb1af30-a039-0134-24d5-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
09efa160-a1bd-0134-a999-0aaafcbd6b1f,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
a1923b30-9dd8-0134-b416-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
35698df0-a132-0134-b0c2-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2da78660-9e4b-0134-4dd6-0a62e1402143,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
d7d0e390-9f9c-0134-fb53-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
da25fd90-a03c-0134-cb79-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
095e3960-a1ca-0134-9f16-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8e4ad200-a043-0134-b8db-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
73406400-9f74-0134-03e7-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
fcfaef60-9f7b-0134-7811-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50263b10-a037-0134-1596-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0c6509c0-9dfb-0134-60cd-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
be13e1e0-9d64-0134-bdd5-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
023779e0-9f72-0134-0150-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5d82d760-a1b0-0134-85f2-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
875f21c0-9f21-0134-5501-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
a83b9d40-9eb8-0134-79be-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
91ad16e0-a4be-0134-5386-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
c8ad3720-9fad-0134-6714-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1072be50-a1ca-0134-f68f-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
